transaction_id,account_id,transaction_amount,transaction_date,transaction_type,merchant_id
114,10,4519.04,2023-08-13 16:00:23.077440,Deposit,100
115,10,4607.16,2022-11-22 04:33:10.941338,Deposit,22
116,10,-3303.75,2020-11-16 15:15:02.467188,Withdraw,79
117,10,3080.53,2022-11-19 18:53:26.527242,Deposit,48
118,10,4891.72,2024-06-03 04:49:23.909553,Withdraw,68
119,10,4981.05,2020-07-29 05:26:47.834886,Withdraw,83
120,10,-2990.91,2024-07-16 04:13:06.147679,Withdraw,72
121,10,-1690.54,2024-09-12 08:33:04.424687,Withdraw,63
122,11,-912.88,2024-08-12 09:17:37.311669,Deposit,14
123,11,1239.18,2023-05-02 02:10:30.878295,Withdraw,82
124,11,4413.16,2024-03-08 02:43:05.198191,Withdraw,13
125,11,1481.23,2023-06-02 04:58:47.421341,Withdraw,8
126,11,-959.29,2023-09-25 08:51:20.088732,Deposit,70
127,11,-556.6,2024-08-16 17:07:13.019001,Deposit,80
128,11,-2283.34,2023-12-27 14:29:32.717166,Deposit,73
129,11,1131.69,2024-03-19 10:45:41.174745,Withdraw,19
130,11,4401.24,2024-01-10 20:42:46.680317,Deposit,39
131,11,2603.38,2024-04-28 02:46:05.900115,Deposit,31
132,11,1576.45,2023-07-08 14:49:15.034528,Withdraw,59
133,11,3800.64,2024-09-08 07:03:01.558338,Withdraw,53
134,11,1715.15,2023-11-28 02:26:44.025281,Withdraw,50
135,11,-3529.43,2024-04-22 03:30:44.214008,Deposit,51
136,11,-1658.54,2024-09-16 05:03:11.972268,Withdraw,45
137,12,1214.4,2024-07-27 20:42:54.295138,Deposit,8
138,12,-3977.46,2024-02-17 20:19:39.681538,Deposit,30
139,12,-1861.23,2022-11-30 15:12:52.960715,Deposit,63
140,12,3607.78,2023-08-19 23:46:15.796306,Withdraw,63
141,12,2952.85,2022-11-27 16:23:29.394927,Withdraw,44
142,12,3610.66,2024-03-11 18:01:18.201509,Deposit,87
143,12,-3937.82,2024-01-01 10:08:27.763277,Withdraw,82
144,12,-1499.34,2023-12-07 08:40:59.374585,Deposit,4
145,12,4862.2,2022-12-16 09:44:20.858997,Withdraw,64
146,12,3517.79,2023-10-30 17:12:33.779804,Deposit,79
147,12,-3810.41,2023-11-15 12:59:02.859794,Withdraw,39
148,12,4864.69,2023-08-13 21:12:45.716206,Withdraw,13
149,12,-1739.29,2023-12-14 19:28:41.902718,Withdraw,58
150,13,2479.07,2024-07-03 10:49:14.872813,Deposit,48
151,13,1552.72,2023-05-12 08:09:55.287572,Deposit,44
152,13,4339.89,2023-05-02 15:18:31.716974,Deposit,100
153,13,3916.86,2022-09-17 21:55:46.272289,Withdraw,35
154,13,2911.42,2023-08-10 03:56:52.227887,Withdraw,35
155,14,4879.12,2024-10-08 23:45:06.269997,Withdraw,48
156,14,-4401.54,2024-10-04 03:52:23.177960,Withdraw,86
157,14,-222.39,2024-09-25 13:21:29.645822,Withdraw,98
158,14,3960.78,2024-10-06 03:43:16.925604,Withdraw,75
159,14,2367.27,2024-10-14 15:01:15.778545,Withdraw,8
160,14,-3205.56,2024-10-14 09:59:51.880596,Deposit,92
161,14,1889.07,2024-10-26 02:45:56.751493,Deposit,38
162,14,864.4,2024-10-23 01:37:34.356828,Withdraw,83
163,14,-4077.57,2024-10-09 21:41:54.771234,Deposit,43
164,14,-4419.0,2024-10-17 20:11:05.595876,Withdraw,27
165,14,-2496.47,2024-09-07 19:05:49.113613,Deposit,20
166,14,-3653.15,2024-10-17 02:57:12.554811,Withdraw,66
167,14,3385.27,2024-10-11 19:14:58.760185,Withdraw,93
168,14,1580.89,2024-10-11 21:03:54.514697,Deposit,29
169,14,-2908.91,2024-10-05 08:25:12.768851,Deposit,88
170,14,-1039.27,2024-09-16 23:38:13.184681,Deposit,55
171,15,1819.37,2020-11-23 20:17:49.786307,Deposit,77
172,15,72.77,2023-10-12 19:48:58.184877,Withdraw,23
173,15,3716.54,2020-04-17 01:05:28.372085,Deposit,84
174,15,3297.48,2024-03-19 06:52:46.381145,Deposit,46
175,15,930.69,2020-08-08 22:19:39.089644,Deposit,67
176,15,803.53,2021-08-07 16:53:48.482092,Deposit,53
177,15,1104.84,2021-03-01 19:20:57.413764,Withdraw,86
178,15,962.72,2021-05-10 01:43:15.959069,Withdraw,19
179,15,1571.77,2021-08-03 00:44:46.492635,Deposit,37
180,15,1617.83,2021-01-30 16:11:02.884960,Withdraw,81
181,15,2456.03,2021-04-07 10:02:35.142176,Deposit,88
182,15,95.64,2020-10-24 15:52:44.971410,Withdraw,78
183,15,1232.54,2022-10-19 17:23:28.864821,Deposit,30
184,15,1029.71,2023-01-24 06:28:30.412010,Withdraw,67
185,15,2325.05,2020-06-05 21:16:58.118337,Deposit,83
186,16,1529.6,2024-03-18 22:10:50.288295,Deposit,59
187,16,2065.29,2023-11-26 21:42:14.321849,Withdraw,36
188,16,2181.21,2022-09-12 20:50:14.227980,Withdraw,91
189,16,131.86,2024-03-24 16:38:21.992956,Deposit,88
190,16,1858.92,2023-06-18 21:44:07.259582,Deposit,63
191,16,452.27,2024-04-27 03:47:01.393219,Deposit,10
192,16,2511.67,2024-03-24 21:10:01.909331,Withdraw,12
193,16,4638.36,2022-10-05 23:38:03.951667,Deposit,73
194,16,749.01,2023-08-03 14:04:29.847546,Withdraw,22
195,17,4656.59,2024-06-14 22:07:37.821262,Deposit,79
196,17,2204.55,2023-10-05 01:30:46.662597,Withdraw,84
197,17,4235.64,2022-05-24 16:00:44.466892,Deposit,49
198,17,4660.83,2023-01-01 06:17:38.211895,Deposit,47
199,17,-1793.05,2023-05-13 00:11:39.831302,Deposit,49
200,17,-1821.39,2023-12-05 07:30:46.796945,Withdraw,85
201,17,-622.23,2023-11-19 07:11:14.216907,Withdraw,92
202,17,1860.64,2024-08-12 19:19:53.461820,Withdraw,47
203,17,-3219.45,2022-09-04 04:22:19.141780,Deposit,83
204,17,3061.96,2024-03-14 10:24:08.625834,Deposit,27
205,17,-741.71,2024-10-15 06:31:44.507494,Withdraw,25
206,17,2472.81,2023-08-17 15:27:36.312469,Deposit,24
207,17,4251.68,2023-11-02 06:03:25.836031,Deposit,89
208,17,2874.4,2022-05-22 20:09:59.929165,Withdraw,29
209,17,3753.34,2023-12-14 04:19:39.529583,Withdraw,28
210,17,854.39,2023-10-06 20:22:13.556255,Deposit,93
211,17,-3166.0,2022-08-23 10:13:04.512604,Withdraw,23
212,17,-238.03,2023-06-15 18:03:30.049961,Withdraw,36
213,18,1674.07,2023-07-11 02:00:06.755081,Withdraw,47
214,18,-2707.09,2022-11-29 20:30:27.573790,Deposit,78
215,18,669.19,2024-06-16 22:48:08.314543,Withdraw,65
216,18,-4383.39,2023-09-17 02:46:57.541754,Deposit,8
217,18,1084.12,2024-01-07 21:40:28.447531,Deposit,80
218,18,4025.62,2024-09-18 03:11:11.060129,Deposit,89
219,18,3124.24,2023-11-26 18:34:58.110442,Withdraw,65
220,18,1561.32,2023-06-08 01:37:31.490416,Withdraw,15
221,18,-4941.85,2024-05-21 02:18:56.226872,Withdraw,36
222,18,1343.07,2023-07-24 02:05:58.774659,Deposit,76
223,18,2594.48,2024-01-08 16:07:26.982079,Deposit,54
224,19,-568.19,2022-08-10 21:44:48.803214,Deposit,43
225,19,-3461.36,2022-10-26 02:02:31.658604,Deposit,1
226,19,534.14,2022-11-09 01:51:14.587097,Withdraw,55
227,19,1161.61,2024-04-10 13:36:26.566466,Deposit,15
228,19,-4880.67,2023-11-13 18:30:53.602650,Deposit,99
229,19,3549.09,2023-04-17 19:42:38.282561,Deposit,83
230,19,318.14,2023-06-28 16:38:14.559006,Deposit,87
231,19,-2231.85,2022-12-05 12:53:51.582256,Deposit,52
232,19,2203.32,2023-08-03 15:57:27.473901,Withdraw,57
233,19,-1148.22,2024-03-05 16:10:31.619250,Deposit,7
234,19,3255.58,2024-09-21 16:14:39.055580,Withdraw,97
235,19,-2779.7,2023-08-02 17:47:37.382277,Deposit,6
236,19,2583.99,2024-04-30 20:46:50.107269,Deposit,45
237,19,4563.68,2023-11-11 03:27:23.634374,Deposit,96
238,20,-2784.3,2024-08-20 06:25:05.003108,Withdraw,78
239,20,-4230.44,2022-07-09 15:42:16.916896,Deposit,73
240,20,3383.56,2022-10-03 07:57:48.782316,Deposit,36
241,20,-4029.45,2022-06-30 10:54:37.188352,Withdraw,77
242,20,-1932.55,2022-02-02 13:43:49.792055,Withdraw,19
243,20,-1747.05,2023-05-04 07:31:48.885899,Deposit,3
244,20,4018.36,2023-01-10 08:56:46.888317,Deposit,66
245,20,-674.75,2020-07-08 00:15:35.502176,Withdraw,95
246,20,2509.72,2023-01-19 22:28:52.407877,Deposit,10
247,20,-3433.74,2022-03-14 12:19:32.365611,Deposit,52
248,20,-4086.15,2023-04-19 16:18:39.475406,Deposit,59
249,20,2944.46,2022-05-16 17:16:08.601173,Withdraw,3
250,20,-2439.39,2021-09-10 13:29:21.843981,Deposit,34
251,20,3832.12,2022-12-30 05:32:04.291256,Deposit,9
252,20,3353.93,2022-02-14 23:06:25.901612,Deposit,46
253,20,773.96,2020-10-20 16:24:38.071395,Deposit,7
254,20,3970.43,2024-05-02 11:56:10.248505,Deposit,23
255,21,2627.96,2024-07-24 11:40:46.903480,Withdraw,95
256,21,504.19,2024-08-27 12:59:18.544145,Withdraw,2
257,21,2705.49,2024-05-15 06:00:57.291283,Withdraw,37
258,21,2818.65,2024-02-09 02:10:38.911903,Deposit,76
259,21,4791.86,2024-02-21 10:01:33.314023,Deposit,42
260,21,3736.97,2023-08-08 13:01:16.070082,Deposit,85
261,21,775.14,2024-07-23 04:49:01.530807,Withdraw,99
262,21,719.1,2024-09-21 16:06:14.358191,Withdraw,98
263,21,2146.32,2024-04-25 12:01:00.550633,Deposit,28
264,21,64.54,2024-04-26 21:34:10.052495,Deposit,84
265,22,1646.86,2021-03-05 15:09:03.979884,Withdraw,49
266,22,279.48,2022-10-23 15:32:40.217514,Deposit,9
267,22,4434.79,2023-10-11 15:20:15.067380,Deposit,98
268,22,254.19,2023-03-26 01:56:27.934107,Withdraw,72
269,22,426.34,2022-05-23 09:44:33.618540,Deposit,55
270,22,4753.62,2024-10-28 15:35:19.763973,Deposit,95
271,22,4607.81,2021-04-04 15:34:10.663393,Deposit,85
272,22,1284.38,2020-09-21 21:58:57.502540,Withdraw,11
273,22,4621.02,2020-10-20 10:45:07.104788,Deposit,91
274,22,169.25,2022-12-11 18:54:52.785415,Withdraw,58
275,22,944.71,2023-04-16 21:02:23.238712,Withdraw,7
276,22,2790.08,2024-01-23 01:57:30.124320,Withdraw,20
277,22,3309.19,2024-04-17 22:25:14.273972,Deposit,35
278,22,2115.37,2022-12-29 02:53:15.086208,Withdraw,39
279,22,2686.9,2024-08-12 05:35:26.888412,Deposit,91
280,22,1884.01,2022-05-30 19:38:03.672399,Withdraw,99
281,22,3513.18,2022-02-18 22:44:03.247221,Withdraw,73
282,22,3128.59,2021-01-02 16:24:16.332112,Withdraw,8
283,22,1373.37,2023-03-26 18:17:36.146793,Deposit,90
284,22,2552.24,2024-08-23 09:51:56.860169,Deposit,42
285,23,-2602.88,2023-07-29 19:43:24.468587,Deposit,4
286,23,3348.31,2022-11-17 17:50:08.111987,Deposit,69
287,23,-3283.47,2024-01-09 10:05:29.711152,Deposit,85
288,23,1729.41,2024-01-27 07:13:49.106023,Deposit,36
289,23,-1243.31,2024-04-14 09:19:57.109920,Withdraw,4
290,23,-1328.11,2023-03-16 12:28:33.904843,Withdraw,36
291,23,4584.85,2023-10-29 13:03:29.645597,Withdraw,74
292,24,-3210.22,2022-08-02 20:02:29.969608,Deposit,5
293,24,1400.69,2022-10-28 22:34:25.327811,Deposit,9
294,24,4297.69,2022-09-13 16:03:46.578761,Deposit,41
295,24,-1670.6,2023-06-22 16:41:16.859395,Deposit,71
296,24,4433.73,2022-08-06 22:13:23.324662,Deposit,98
297,24,620.02,2024-01-31 04:48:31.618549,Deposit,5
298,24,2910.08,2023-10-16 12:58:25.672416,Deposit,100
299,24,-2279.49,2022-11-29 07:55:39.031707,Withdraw,77
300,24,-4312.59,2023-03-11 04:13:52.425712,Withdraw,37
301,24,-243.7,2024-02-20 05:29:08.816023,Withdraw,39
302,24,1515.57,2024-04-30 11:43:26.821893,Withdraw,97
303,25,-490.81,2024-04-16 08:14:00.093385,Deposit,83
304,25,-10.5,2023-11-15 11:57:17.129695,Withdraw,56
305,25,-4014.13,2023-11-20 12:57:46.341809,Withdraw,19
306,25,-3675.7,2023-12-10 18:47:55.021624,Deposit,20
307,25,1529.96,2024-09-02 04:06:39.544253,Withdraw,49
308,25,676.24,2024-09-05 19:20:00.462264,Withdraw,38
309,25,4933.19,2022-06-16 10:23:37.539690,Deposit,21
310,25,587.46,2024-01-18 00:46:32.709452,Deposit,50
311,25,-681.3,2023-08-10 07:11:46.426481,Withdraw,66
312,25,2826.76,2024-02-29 13:32:59.966452,Deposit,71
313,26,400.85,2024-08-18 14:18:16.589839,Withdraw,33
314,26,804.44,2024-03-27 22:13:55.098832,Deposit,26
315,26,4523.86,2022-10-11 14:08:22.736270,Withdraw,8
316,26,-2135.79,2023-05-30 16:18:08.929857,Deposit,81
317,26,-1257.2,2023-05-27 21:04:01.427891,Deposit,26
318,26,-805.44,2024-08-08 03:57:31.950079,Deposit,92
319,26,2138.01,2022-12-12 06:01:07.817608,Withdraw,21
320,26,-4189.81,2024-09-09 04:43:36.200490,Deposit,10
321,26,-3100.08,2022-12-22 05:34:05.335538,Deposit,93
322,26,-3480.29,2024-07-02 23:34:39.439152,Withdraw,40
323,26,-3673.62,2024-03-30 07:45:29.627615,Deposit,66
324,26,-3690.0,2024-08-26 18:32:13.787822,Deposit,65
325,27,-3698.65,2024-09-13 23:36:58.040968,Deposit,42
326,27,1688.67,2024-09-02 02:51:09.261225,Withdraw,70
327,27,3505.75,2024-09-07 18:50:34.421479,Withdraw,23
328,27,3991.64,2024-10-14 04:47:29.607650,Withdraw,91
329,27,3258.69,2024-09-29 11:49:22.785046,Deposit,39
330,27,-1440.97,2024-10-28 00:42:28.240730,Withdraw,61
331,27,1563.68,2024-09-20 08:23:45.541296,Withdraw,33
332,27,-161.12,2024-08-19 10:21:47.695417,Deposit,61
333,27,-139.32,2024-09-04 16:41:05.930086,Withdraw,16
334,27,1464.59,2024-09-13 13:01:39.901374,Deposit,23
335,27,-3355.9,2024-08-05 22:13:18.959142,Deposit,86
336,28,4538.94,2024-06-05 15:12:07.245362,Deposit,4
337,28,-4449.28,2024-06-02 18:52:15.846619,Withdraw,11
338,28,3742.04,2024-10-18 02:42:12.257507,Deposit,40
339,28,2274.54,2022-12-05 01:38:58.249256,Deposit,82
340,28,2258.16,2022-08-12 23:46:29.308200,Withdraw,40
341,28,4042.97,2022-12-11 11:11:56.340016,Withdraw,10
342,28,-2220.26,2023-12-02 08:03:40.549174,Withdraw,40
343,29,-2809.76,2024-08-06 10:05:47.977594,Deposit,91
344,29,-1494.8,2024-03-28 08:42:03.115859,Withdraw,18
345,29,-3162.52,2024-09-17 17:50:23.472780,Deposit,4
346,29,3367.11,2024-01-17 13:08:32.261572,Deposit,98
347,29,-1195.98,2024-07-29 20:08:41.327283,Deposit,17
348,29,571.02,2024-03-14 14:46:54.619003,Deposit,32
349,29,-3021.55,2024-06-18 04:09:07.295698,Withdraw,60
350,29,-4122.58,2024-03-27 18:21:02.546532,Deposit,87
351,29,-3083.01,2024-06-28 17:14:49.699952,Deposit,38
352,29,-1571.06,2024-03-08 08:36:25.652530,Withdraw,78
353,30,1153.5,2022-09-04 11:20:39.802258,Withdraw,4
354,30,1182.98,2023-08-05 04:57:34.267992,Withdraw,97
355,30,3986.99,2023-11-14 00:45:39.066358,Deposit,49
356,30,542.88,2024-05-05 16:43:32.204591,Withdraw,14
357,30,4005.52,2024-08-06 06:40:12.944592,Deposit,97
358,30,540.92,2023-08-09 06:43:48.181699,Withdraw,9
359,30,1725.19,2023-07-14 16:31:39.100100,Deposit,36
360,30,1415.41,2024-08-24 09:51:39.881396,Withdraw,31
361,30,1825.98,2024-01-05 09:58:31.707309,Withdraw,19
362,30,1665.42,2023-01-30 03:14:11.517807,Withdraw,28
363,30,2676.16,2022-07-24 02:13:34.114707,Deposit,89
364,30,2617.02,2024-01-31 13:05:50.587722,Deposit,57
365,30,322.48,2022-05-16 01:50:41.488402,Withdraw,74
366,30,1061.13,2023-10-28 09:28:07.791025,Withdraw,100
367,31,1164.42,2023-06-18 18:05:06.474463,Deposit,42
368,31,152.45,2023-03-24 14:05:31.131718,Withdraw,85
369,31,3912.98,2024-10-23 11:34:18.717406,Deposit,33
370,31,3451.49,2023-09-07 03:34:56.015492,Deposit,2
371,31,385.69,2023-06-13 05:21:25.265491,Withdraw,98
372,31,3831.19,2024-01-04 16:47:41.969315,Deposit,39
373,31,144.31,2022-12-13 04:08:12.566200,Withdraw,18
374,31,4574.51,2023-12-23 21:24:40.395319,Deposit,46
375,31,947.24,2023-04-03 19:52:00.437319,Deposit,83
376,31,4167.76,2023-10-14 16:07:44.275167,Deposit,28
377,31,2146.38,2024-09-27 11:27:20.882353,Deposit,51
378,31,823.91,2024-06-20 14:50:46.473851,Withdraw,38
379,31,417.79,2024-01-19 18:57:53.540901,Withdraw,70
380,31,4541.11,2024-01-27 11:48:10.196490,Deposit,89
381,31,456.76,2023-10-06 18:20:07.138921,Withdraw,38
382,31,4344.36,2023-09-04 02:32:23.385174,Deposit,10
383,32,184.85,2023-12-22 13:18:33.219084,Deposit,25
384,32,-1785.82,2023-08-07 09:44:36.609206,Withdraw,60
385,32,-478.91,2024-02-20 06:13:57.462383,Withdraw,44
386,32,-3811.42,2023-07-28 05:41:15.395425,Withdraw,44
387,32,-113.58,2023-12-07 01:50:05.490427,Deposit,48
388,32,4184.53,2024-01-17 11:30:37.450072,Withdraw,2
389,32,-3910.69,2023-11-16 20:47:12.380929,Withdraw,46
390,32,4489.89,2024-03-16 05:06:24.142757,Deposit,79
391,32,714.66,2024-09-21 13:58:20.404145,Withdraw,38
392,32,-4680.73,2024-08-04 08:20:39.737745,Deposit,51
393,32,4287.06,2024-09-21 23:40:22.481486,Withdraw,91
394,32,-130.59,2024-04-17 10:06:53.744123,Deposit,31
395,32,-3837.87,2024-08-03 06:10:30.301610,Deposit,93
396,32,2969.5,2024-09-01 08:00:08.218714,Withdraw,3
397,32,-4739.06,2023-07-08 01:55:35.638080,Withdraw,81
398,33,592.72,2024-09-13 10:16:02.506862,Withdraw,27
399,33,4265.63,2024-10-20 13:27:29.676256,Deposit,94
400,33,4180.11,2024-08-28 13:16:11.074785,Deposit,32
401,33,2550.21,2024-08-14 04:47:40.577682,Deposit,70
402,33,91.93,2024-09-25 08:25:20.072272,Withdraw,11
403,34,915.16,2024-10-06 19:38:29.537343,Withdraw,22
404,34,4274.13,2023-11-22 12:53:31.410748,Withdraw,34
405,34,-3486.88,2023-02-04 04:55:48.866254,Deposit,60
406,34,-3375.25,2022-03-30 04:53:32.916845,Deposit,25
407,34,-359.83,2023-06-18 12:30:06.884748,Deposit,87
408,34,-3022.6,2020-12-19 14:49:03.965749,Withdraw,14
409,34,-586.61,2024-03-12 05:50:37.240437,Deposit,82
410,34,759.46,2024-01-07 18:13:02.791968,Deposit,95
411,34,-2916.82,2022-11-29 06:08:54.236524,Deposit,32
412,34,-1683.02,2022-07-03 11:30:52.781792,Withdraw,32
413,34,3762.85,2022-03-11 10:51:57.114492,Withdraw,25
414,34,-4992.35,2022-10-06 00:05:32.022126,Withdraw,10
415,34,-642.85,2023-08-03 23:51:20.559042,Withdraw,53
416,34,3060.04,2023-11-15 04:24:55.434485,Withdraw,7
417,35,1380.36,2022-11-23 14:58:47.593771,Withdraw,8
418,35,1693.91,2023-09-21 23:18:22.473040,Withdraw,13
419,35,-931.67,2021-05-18 01:29:27.269950,Deposit,82
420,35,-2470.36,2021-05-01 04:29:08.711051,Withdraw,1
421,35,2808.6,2021-08-24 05:47:45.006120,Deposit,96
422,35,1967.8,2024-03-25 20:45:34.655318,Deposit,18
423,35,-67.33,2021-03-21 11:32:34.877417,Withdraw,31
424,35,4761.09,2021-12-01 01:43:24.119063,Withdraw,25
425,35,2799.28,2024-03-15 02:53:11.510786,Withdraw,18
426,36,-3855.94,2024-05-03 03:29:02.206420,Deposit,80
