loan_id,customer_id,loan_amount,loan_type,loan_status
108,42,9231.52,Medical,Paid Off
109,42,32012.38,Business,Active
110,42,12794.64,Education,Paid Off
111,42,33225.22,Vacation,Active
112,42,30573.56,Green Energy,Paid Off
113,42,19582.64,Medical,Active
114,43,39981.7,Emergency,Paid Off
115,43,17606.37,Education,Paid Off
116,44,2279.65,Home,Active
117,44,48245.28,Home,Paid Off
118,44,7861.89,Personal,Paid Off
119,44,15801.95,Debt Consolidation,Active
120,45,38774.52,Emergency,Paid Off
121,45,41852.21,Personal,Paid Off
122,45,9524.79,Vacation,Paid Off
123,45,36211.55,Business,Paid Off
124,45,32956.62,Home,Paid Off
125,46,16982.33,Auto,Paid Off
126,47,46606.52,Home Improvement,Paid Off
127,47,29671.55,Green Energy,Active
128,47,25537.7,Business,Paid Off
129,47,29541.83,Green Energy,Paid Off
130,47,35571.06,Green Energy,Active
131,47,34698.19,Home,Paid Off
132,47,24048.97,Home,Paid Off
133,48,24794.89,Emergency,Active
134,48,28085.17,Green Energy,Active
135,48,49369.68,Medical,Paid Off
136,48,8253.33,Home,Active
137,48,30016.48,Vacation,Active
138,48,16387.76,Auto,Paid Off
139,48,46579.74,Debt Consolidation,Paid Off
140,49,41047.79,Emergency,Active
141,50,25016.9,Education,Active
142,50,11495.29,Debt Consolidation,Active
143,51,24303.64,Home,Active
144,51,45217.38,Home,Active
145,51,20788.74,Green Energy,Active
146,51,40472.4,Auto,Active
147,51,23216.52,Debt Consolidation,Paid Off
148,51,25812.18,Auto,Paid Off
149,52,47450.04,Home Improvement,Active
150,52,40412.78,Medical,Active
151,52,12262.19,Auto,Active
152,52,16633.53,Home Improvement,Active
153,53,36446.57,Education,Paid Off
154,53,22921.07,Personal,Paid Off
155,53,20402.02,Personal,Paid Off
156,53,5816.94,Emergency,Active
157,53,14901.46,Home,Active
158,54,34284.54,Debt Consolidation,Active
159,54,9150.04,Vacation,Active
160,56,13320.64,Medical,Paid Off
161,57,11880.92,Vacation,Paid Off
162,57,36210.92,Green Energy,Paid Off
163,57,2173.47,Green Energy,Paid Off
164,58,33689.51,Business,Active
165,59,3497.8,Green Energy,Active
166,59,18135.98,Education,Active
167,60,17800.7,Home,Paid Off
168,60,34774.99,Auto,Active
169,60,13667.13,Education,Active
170,60,39610.04,Home Improvement,Paid Off
171,60,25887.65,Green Energy,Paid Off
172,60,32818.69,Business,Paid Off
173,63,10627.21,Auto,Active
174,63,4626.66,Medical,Active
175,64,27753.72,Education,Active
176,64,27076.62,Education,Paid Off
177,64,6147.26,Emergency,Paid Off
178,65,8893.2,Home,Active
179,65,7948.19,Business,Active
180,65,33902.08,Vacation,Active
181,65,17957.92,Business,Paid Off
182,65,9419.29,Medical,Active
183,66,20625.97,Emergency,Paid Off
184,66,4498.08,Personal,Active
185,66,25832.95,Emergency,Active
186,66,28598.77,Personal,Paid Off
187,66,30441.15,Home,Paid Off
188,66,46791.42,Business,Paid Off
189,66,25345.05,Home,Paid Off
190,67,3529.95,Green Energy,Paid Off
191,67,44702.59,Home Improvement,Paid Off
192,67,47743.95,Vacation,Paid Off
193,67,42055.04,Education,Active
194,68,37689.14,Education,Active
195,68,24905.68,Green Energy,Paid Off
196,68,25102.06,Home Improvement,Active
197,69,2313.15,Home Improvement,Active
198,69,40153.98,Auto,Paid Off
199,69,45371.89,Green Energy,Paid Off
200,69,4681.37,Debt Consolidation,Active
201,69,32824.53,Vacation,Active
202,70,8195.84,Personal,Active
203,70,49012.16,Emergency,Active
204,70,7163.12,Debt Consolidation,Active
205,70,38731.46,Personal,Active
206,70,23851.46,Medical,Active
207,70,20392.37,Medical,Paid Off
208,71,10523.32,Home Improvement,Active
209,73,22347.07,Vacation,Active
210,73,36176.91,Personal,Paid Off
211,74,19186.05,Personal,Paid Off
212,74,28913.58,Emergency,Paid Off
213,74,2341.87,Home Improvement,Active
214,74,5105.47,Vacation,Active
215,75,38913.55,Vacation,Active
216,75,16304.21,Home,Active
217,75,19611.41,Auto,Active
218,75,42250.01,Medical,Paid Off
219,78,40007.0,Vacation,Paid Off
220,78,3681.93,Debt Consolidation,Active
221,78,47315.49,Auto,Paid Off
222,78,36648.29,Green Energy,Active
223,79,40396.63,Debt Consolidation,Paid Off
224,79,24639.93,Vacation,Active
225,79,41861.81,Vacation,Paid Off
226,79,24499.8,Home Improvement,Active
227,79,16403.23,Green Energy,Paid Off
228,79,29216.5,Emergency,Paid Off
229,79,33051.52,Vacation,Active
230,80,30308.77,Debt Consolidation,Active
231,80,25542.3,Debt Consolidation,Active
232,80,44816.78,Home,Paid Off
233,80,42065.56,Home Improvement,Paid Off
234,80,47345.79,Home Improvement,Paid Off
235,81,49372.59,Auto,Active
236,82,21217.33,Home Improvement,Active
237,82,41355.91,Medical,Active
238,83,48660.21,Personal,Active
239,83,29139.05,Home,Paid Off
240,83,10456.85,Green Energy,Active
241,83,49463.36,Emergency,Paid Off
242,84,11853.29,Home Improvement,Paid Off
243,84,13391.96,Emergency,Active
244,84,40458.35,Vacation,Paid Off
245,84,24169.98,Medical,Paid Off
246,84,29909.83,Debt Consolidation,Paid Off
247,84,11659.29,Home Improvement,Active
248,85,12518.98,Vacation,Active
249,85,45538.44,Home Improvement,Paid Off
250,85,29420.37,Personal,Active
251,85,33057.21,Medical,Paid Off
252,86,32608.42,Education,Active
253,86,23357.24,Emergency,Active
254,86,28615.14,Home Improvement,Active
255,86,46598.95,Emergency,Paid Off
256,86,48278.65,Green Energy,Paid Off
257,87,24043.51,Debt Consolidation,Active
258,87,2542.13,Debt Consolidation,Active
259,87,47509.32,Auto,Paid Off
260,87,14649.33,Home,Paid Off
261,88,9231.82,Medical,Active
262,88,2592.64,Business,Paid Off
263,88,2919.95,Emergency,Active
264,88,46546.79,Vacation,Paid Off
265,88,17713.45,Auto,Active
266,88,30787.91,Personal,Active
267,88,7110.96,Medical,Active
268,89,38233.32,Business,Active
269,89,29073.64,Auto,Paid Off
270,89,39229.71,Medical,Active
271,90,49792.19,Home Improvement,Active
272,90,31022.93,Education,Active
273,90,48391.33,Personal,Paid Off
274,90,27767.36,Emergency,Active
275,90,22590.93,Green Energy,Paid Off
276,90,20828.43,Education,Active
277,91,38602.14,Auto,Paid Off
278,91,40748.71,Debt Consolidation,Active
279,91,34733.84,Home,Paid Off
280,91,31151.36,Business,Active
281,93,18626.77,Home,Active
282,93,22750.1,Auto,Paid Off
283,93,34560.28,Home,Paid Off
284,93,13486.23,Education,Paid Off
285,93,46604.36,Business,Active
286,93,39298.61,Vacation,Active
287,93,9851.43,Personal,Active
288,94,10482.95,Home Improvement,Paid Off
289,94,26976.51,Business,Paid Off
290,94,44330.12,Green Energy,Active
291,95,39073.38,Emergency,Paid Off
292,95,48815.32,Green Energy,Active
293,95,8644.97,Emergency,Paid Off
294,95,13583.46,Debt Consolidation,Active
295,95,4828.9,Home,Paid Off
296,96,30469.2,Vacation,Paid Off
297,96,28460.72,Medical,Paid Off
298,97,46766.17,Medical,Paid Off
299,97,28342.55,Vacation,Paid Off
300,97,4278.15,Personal,Paid Off
301,97,48829.13,Auto,Paid Off
302,97,48542.76,Personal,Paid Off
303,98,36340.26,Medical,Active
304,98,43827.22,Emergency,Paid Off
305,98,34793.96,Personal,Paid Off
306,98,17655.58,Business,Paid Off
307,98,33651.25,Education,Paid Off
308,98,32640.57,Debt Consolidation,Active
309,98,33205.99,Debt Consolidation,Active
310,99,9421.76,Vacation,Paid Off
311,99,2166.65,Home Improvement,Active
312,99,20160.42,Emergency,Paid Off
313,99,28264.78,Home,Paid Off
314,99,9211.49,Vacation,Active
315,99,6184.49,Home Improvement,Active
316,100,47519.19,Personal,Paid Off
317,100,10863.19,Green Energy,Paid Off
318,100,41960.99,Medical,Paid Off
319,100,47168.41,Personal,Paid Off
320,100,5431.33,Personal,Active
321,100,22413.5,Green Energy,Paid Off
322,101,23730.18,Business,Paid Off
323,101,32135.37,Debt Consolidation,Active
324,101,36471.82,Vacation,Active
325,101,31337.28,Debt Consolidation,Paid Off
326,101,15867.33,Vacation,Paid Off
327,101,1233.86,Emergency,Paid Off
328,101,35677.06,Vacation,Paid Off
329,102,4390.25,Emergency,Active
330,102,5602.08,Debt Consolidation,Active
331,102,33759.8,Personal,Paid Off
332,102,4678.18,Green Energy,Active
333,102,16249.81,Personal,Active
334,103,28765.39,Home Improvement,Paid Off
335,103,38709.03,Business,Paid Off
336,103,11867.26,Debt Consolidation,Active
337,103,29992.12,Medical,Active
338,103,39784.7,Auto,Paid Off
339,103,9566.13,Home Improvement,Paid Off
340,104,47741.25,Medical,Paid Off
341,104,33387.93,Home Improvement,Paid Off
342,106,10104.07,Home Improvement,Paid Off
343,106,37553.37,Vacation,Paid Off
344,107,9812.54,Vacation,Active
345,107,17542.47,Emergency,Active
346,107,20569.2,Medical,Paid Off
347,107,6422.6,Vacation,Active
348,107,49851.18,Medical,Active
349,107,20878.44,Vacation,Paid Off
350,107,41573.92,Home Improvement,Paid Off
351,108,6755.61,Auto,Paid Off
352,108,15126.35,Home Improvement,Paid Off
353,108,45115.93,Vacation,Active
354,108,31945.25,Business,Paid Off
355,108,34959.7,Debt Consolidation,Paid Off
356,108,25650.77,Auto,Paid Off
357,109,22046.31,Auto,Active
358,109,13075.46,Debt Consolidation,Active
359,109,15480.24,Medical,Paid Off
360,109,42019.89,Home Improvement,Paid Off
361,110,1046.4,Business,Active
362,110,15019.3,Vacation,Paid Off
363,110,5917.5,Medical,Paid Off
364,110,20277.71,Medical,Paid Off
365,110,26086.22,Debt Consolidation,Active
366,111,43458.23,Home Improvement,Active
367,112,5252.09,Personal,Paid Off
368,112,43894.59,Debt Consolidation,Paid Off
369,112,1650.24,Auto,Active
370,112,9674.1,Auto,Paid Off
371,112,46996.53,Education,Active
372,113,36776.51,Emergency,Paid Off
373,113,26604.35,Home,Paid Off
374,113,43952.87,Auto,Paid Off
375,113,40758.69,Personal,Active
376,113,40799.69,Green Energy,Paid Off
377,114,20800.66,Vacation,Active
378,114,5485.33,Green Energy,Paid Off
379,114,32382.53,Auto,Paid Off
380,114,5743.28,Home,Active
381,114,41200.72,Business,Active
382,115,26161.76,Emergency,Paid Off
383,115,21041.63,Home Improvement,Active
384,115,1013.49,Home,Paid Off
385,115,40484.16,Debt Consolidation,Paid Off
386,116,21524.14,Vacation,Active
387,116,12906.93,Green Energy,Paid Off
388,116,37610.82,Education,Paid Off
389,116,24207.11,Business,Active
390,117,12511.46,Vacation,Active
391,117,44721.87,Green Energy,Paid Off
392,117,42605.7,Home Improvement,Active
393,117,40404.44,Home,Paid Off
394,118,49607.01,Personal,Active
395,118,7953.1,Personal,Active
396,118,6019.25,Emergency,Paid Off
397,118,15815.89,Home,Paid Off
398,118,30571.37,Auto,Paid Off
399,119,12080.05,Vacation,Active
400,119,29979.12,Personal,Active
401,119,24634.48,Education,Active
402,119,10522.9,Green Energy,Active
403,119,29737.04,Home Improvement,Active
404,120,36288.15,Green Energy,Paid Off
405,120,14632.98,Business,Active
406,120,3130.71,Business,Active
407,120,29321.46,Education,Active
408,121,12591.05,Auto,Active
409,121,21180.35,Medical,Active
410,122,34018.59,Medical,Active
411,122,6918.76,Business,Active
412,122,48513.14,Medical,Active
413,123,19987.32,Home Improvement,Paid Off
414,124,15366.59,Green Energy,Active
415,125,11892.76,Business,Active
416,125,15607.06,Education,Active
417,125,27967.12,Green Energy,Paid Off
418,125,14446.42,Vacation,Paid Off
419,125,41029.77,Auto,Paid Off
420,125,26575.51,Emergency,Active
421,126,46259.47,Green Energy,Active
422,126,11173.17,Vacation,Paid Off
423,126,12926.7,Home,Paid Off
424,126,33557.74,Home,Active
425,126,38743.63,Green Energy,Paid Off
426,126,31027.82,Education,Active
427,127,38807.13,Personal,Active
428,127,47409.32,Home,Paid Off
429,127,30130.2,Education,Active
430,127,34774.77,Auto,Paid Off
431,128,45399.71,Green Energy,Active
432,129,29283.89,Personal,Paid Off
433,129,32503.38,Green Energy,Paid Off
434,129,43253.37,Vacation,Active
435,129,19039.01,Personal,Paid Off
436,129,34979.28,Medical,Active
437,130,24901.58,Business,Paid Off
438,130,2761.52,Business,Active
439,130,45197.45,Home Improvement,Paid Off
440,130,26457.87,Personal,Active
441,130,44864.55,Home,Paid Off
442,131,1897.75,Debt Consolidation,Paid Off
443,131,11142.6,Vacation,Active
444,131,44877.43,Auto,Paid Off
445,131,18930.58,Home,Active
446,131,45799.66,Home Improvement,Active
447,131,32926.82,Auto,Active
448,132,8832.77,Home Improvement,Active
449,132,31849.22,Business,Paid Off
450,132,11836.34,Auto,Active
451,132,18493.52,Vacation,Paid Off
452,132,46630.59,Education,Active
453,133,43470.46,Auto,Paid Off
454,133,3217.15,Auto,Active
455,133,7302.43,Auto,Paid Off
456,133,43459.04,Green Energy,Active
457,134,10746.68,Vacation,Active
458,135,13978.16,Debt Consolidation,Active
459,135,44435.26,Emergency,Active
460,135,42305.63,Vacation,Active
461,135,17166.14,Auto,Active
462,135,49820.93,Home Improvement,Active
463,136,37096.8,Home,Active
464,136,36284.61,Auto,Paid Off
465,136,32837.71,Debt Consolidation,Paid Off
466,136,28218.65,Debt Consolidation,Paid Off
467,136,39966.97,Green Energy,Active
468,137,33079.06,Personal,Active
469,138,8305.38,Home,Paid Off
470,138,41927.33,Business,Active
471,138,44079.6,Green Energy,Active
472,140,22899.55,Auto,Active
473,140,49220.82,Business,Paid Off
474,140,8643.61,Auto,Active
475,141,46028.92,Green Energy,Active
476,141,17146.24,Education,Active
477,142,7311.37,Medical,Active
478,142,23571.66,Home,Active
479,142,4378.46,Debt Consolidation,Paid Off
480,142,30044.05,Green Energy,Active
481,142,11222.99,Green Energy,Paid Off
482,142,43670.75,Auto,Paid Off
483,142,43861.75,Debt Consolidation,Paid Off
484,143,12439.31,Auto,Paid Off
485,143,40179.04,Personal,Paid Off
486,143,36023.95,Auto,Paid Off
487,143,42241.34,Home,Active
488,143,14361.73,Education,Paid Off
489,143,17391.31,Home,Paid Off
490,143,17140.91,Medical,Paid Off
491,144,11599.3,Emergency,Active
492,144,2989.4,Home,Active
493,145,6244.32,Medical,Paid Off
494,146,47396.52,Auto,Active
495,146,6443.93,Green Energy,Paid Off
496,146,45976.45,Personal,Active
497,146,19729.75,Vacation,Active
498,146,1415.84,Home,Active
499,146,22627.87,Education,Paid Off
500,149,44232.8,Auto,Active
501,149,1472.45,Home,Paid Off
502,149,19257.89,Home,Paid Off
503,149,22595.84,Emergency,Active
504,149,14178.7,Vacation,Paid Off
505,149,23819.09,Medical,Paid Off
506,149,45652.64,Education,Active
507,150,29258.72,Home Improvement,Active
508,150,28554.93,Green Energy,Active
509,150,27406.77,Vacation,Paid Off
510,150,35681.94,Business,Paid Off
511,150,19984.06,Green Energy,Paid Off
512,150,23504.86,Debt Consolidation,Active
513,151,15483.64,Debt Consolidation,Paid Off
514,151,24985.03,Home,Active
515,152,13884.79,Green Energy,Paid Off
516,152,23111.05,Education,Paid Off
517,152,31521.21,Green Energy,Paid Off
518,152,9279.81,Home Improvement,Paid Off
519,152,13382.77,Debt Consolidation,Active
520,153,34144.14,Medical,Paid Off
521,153,27826.66,Personal,Paid Off
522,153,26622.79,Emergency,Active
523,153,39784.68,Home Improvement,Paid Off
524,155,35603.08,Medical,Active
525,156,49446.01,Home,Paid Off
526,156,6130.41,Vacation,Paid Off
527,156,28541.07,Business,Active
528,157,43294.77,Emergency,Active
529,157,9698.47,Business,Paid Off
530,157,38791.6,Auto,Active
531,157,15838.6,Home,Active
532,157,16629.2,Debt Consolidation,Active
533,157,26418.25,Vacation,Paid Off
534,157,38356.47,Business,Paid Off
535,158,26236.2,Debt Consolidation,Paid Off
536,158,24886.0,Emergency,Active
537,160,13260.54,Emergency,Paid Off
538,160,26237.11,Home Improvement,Active
539,160,16437.88,Home,Active
540,162,23114.07,Emergency,Paid Off
541,162,48960.77,Home,Paid Off
542,163,42734.73,Education,Paid Off
543,163,41860.6,Home Improvement,Paid Off
544,163,11438.48,Education,Paid Off
545,163,7317.07,Business,Active
546,163,3702.57,Vacation,Paid Off
547,164,35107.31,Green Energy,Paid Off
548,164,32924.22,Business,Active
549,164,38528.52,Education,Paid Off
550,164,26986.46,Home,Paid Off
551,164,18399.48,Green Energy,Paid Off
552,164,35389.98,Home Improvement,Active
553,164,8123.17,Education,Active
554,165,3880.2,Home,Paid Off
555,166,27867.83,Personal,Active
556,166,48635.32,Business,Active
557,166,49549.32,Medical,Paid Off
558,166,24484.32,Business,Active
559,167,25280.29,Education,Active
560,168,23397.01,Emergency,Active
561,168,29502.3,Business,Paid Off
562,168,26026.94,Auto,Paid Off
563,168,44197.0,Auto,Active
564,170,35273.57,Medical,Paid Off
565,170,18417.59,Medical,Paid Off
566,170,34367.08,Vacation,Paid Off
567,171,31311.74,Vacation,Active
568,171,45902.49,Home Improvement,Active
569,171,15925.02,Medical,Active
570,171,6242.0,Green Energy,Active
571,172,20978.92,Personal,Active
572,172,10367.88,Green Energy,Paid Off
573,172,41765.93,Debt Consolidation,Paid Off
574,173,33308.28,Auto,Active
575,173,47916.81,Vacation,Active
576,173,17405.83,Personal,Active
577,173,36588.03,Green Energy,Paid Off
578,173,29743.41,Debt Consolidation,Paid Off
579,173,27865.06,Personal,Paid Off
580,174,27728.58,Auto,Active
581,174,48030.2,Auto,Active
582,174,21323.06,Home Improvement,Active
583,174,4915.45,Green Energy,Paid Off
584,175,3430.68,Emergency,Active
585,175,13166.89,Vacation,Paid Off
586,175,35303.87,Education,Paid Off
587,175,22434.28,Vacation,Paid Off
588,175,6723.05,Medical,Paid Off
589,175,43125.85,Personal,Active
590,176,36631.39,Vacation,Active
591,176,2643.85,Auto,Paid Off
592,176,24847.86,Education,Paid Off
593,176,34577.57,Business,Paid Off
594,176,21909.77,Green Energy,Active
595,176,42115.33,Home Improvement,Paid Off
596,177,37838.94,Home Improvement,Paid Off
597,177,49019.71,Business,Paid Off
598,177,34247.2,Business,Active
599,177,2296.88,Vacation,Paid Off
600,178,12428.78,Auto,Paid Off
601,178,12548.33,Business,Active
602,178,31239.27,Auto,Paid Off
603,178,28987.58,Home Improvement,Paid Off
604,178,34602.03,Home,Active
605,178,42725.76,Debt Consolidation,Paid Off
606,179,44356.19,Business,Paid Off
607,179,20228.15,Green Energy,Paid Off
608,179,17724.0,Personal,Active
609,179,43174.01,Green Energy,Paid Off
610,179,18286.97,Personal,Active
611,180,13390.48,Vacation,Paid Off
612,180,34112.38,Personal,Paid Off
613,181,1617.62,Auto,Active
614,181,7000.54,Medical,Paid Off
615,181,21846.39,Personal,Paid Off
616,182,4311.2,Debt Consolidation,Active
617,183,30033.66,Medical,Paid Off
618,183,3689.08,Vacation,Active
619,184,7919.03,Medical,Paid Off
620,184,44863.36,Business,Active
621,184,17573.53,Business,Paid Off
622,184,5579.79,Medical,Paid Off
623,184,8956.35,Vacation,Paid Off
624,184,34155.54,Auto,Active
625,184,17045.11,Green Energy,Paid Off
626,185,26100.08,Personal,Active
627,185,45919.24,Medical,Paid Off
628,185,34061.26,Vacation,Paid Off
629,186,47438.69,Education,Active
630,186,15269.42,Personal,Paid Off
631,186,26395.38,Personal,Paid Off
632,186,5292.43,Emergency,Active
633,186,38119.18,Education,Active
634,186,17913.88,Debt Consolidation,Active
635,186,41472.03,Debt Consolidation,Paid Off
636,187,45638.4,Vacation,Active
637,187,29495.82,Education,Active
638,187,36230.64,Education,Paid Off
639,187,4271.32,Vacation,Active
640,187,46910.25,Debt Consolidation,Active
641,188,15490.21,Auto,Paid Off
642,189,15282.56,Auto,Paid Off
643,189,7652.47,Home,Active
644,189,7725.8,Home,Paid Off
645,190,21750.28,Medical,Active
646,190,26773.96,Business,Active
647,190,45227.54,Debt Consolidation,Active
648,190,33938.2,Personal,Active
649,190,8874.09,Emergency,Paid Off
650,190,43892.97,Auto,Paid Off
651,192,40672.94,Medical,Paid Off
652,192,42857.0,Green Energy,Active
653,193,13664.32,Emergency,Active
654,193,2374.47,Home,Paid Off
655,193,15808.07,Education,Paid Off
656,193,4362.63,Debt Consolidation,Active
657,193,8922.25,Education,Active
658,193,10002.48,Home Improvement,Paid Off
659,194,48712.92,Vacation,Paid Off
660,196,9386.67,Personal,Active
661,197,31041.21,Vacation,Paid Off
662,197,39868.57,Vacation,Active
663,197,44584.87,Home Improvement,Paid Off
664,197,24807.49,Business,Paid Off
665,197,19705.9,Education,Paid Off
666,197,22084.75,Education,Active
667,197,49751.36,Medical,Paid Off
668,198,9216.43,Green Energy,Paid Off
669,198,28647.96,Vacation,Paid Off
670,198,42410.11,Debt Consolidation,Active
671,198,26290.66,Medical,Active
672,199,46713.46,Vacation,Paid Off
673,199,21643.75,Medical,Active
674,199,43585.01,Home Improvement,Active
675,199,41774.08,Personal,Paid Off
676,199,6871.08,Personal,Active
677,199,22984.77,Home Improvement,Active
678,200,10786.42,Medical,Active
679,200,36374.4,Home Improvement,Paid Off
680,200,26482.23,Medical,Paid Off
681,200,16452.31,Debt Consolidation,Active
682,200,11806.64,Home,Paid Off
683,200,25397.9,Home,Paid Off
684,201,16068.33,Green Energy,Paid Off
685,201,21876.93,Business,Active
686,202,18632.23,Auto,Active
687,202,17227.18,Green Energy,Active
688,202,10915.98,Green Energy,Paid Off
689,202,5265.93,Home Improvement,Active
690,202,19884.26,Debt Consolidation,Active
691,203,39332.94,Home,Active
692,203,16066.33,Debt Consolidation,Paid Off
693,203,20923.13,Education,Active
694,203,24480.33,Debt Consolidation,Active
695,203,6718.59,Business,Paid Off
696,203,28515.85,Home Improvement,Active
697,204,29097.55,Green Energy,Active
698,204,33547.51,Emergency,Active
699,204,38146.73,Business,Active
700,204,31170.5,Emergency,Active
701,204,11612.44,Home Improvement,Active
702,204,5377.55,Green Energy,Paid Off
703,205,33792.52,Home,Paid Off
704,206,24366.56,Home Improvement,Active
705,206,38313.98,Medical,Active
706,206,26558.41,Personal,Paid Off
707,206,5261.94,Home Improvement,Active
708,206,46601.21,Home,Paid Off
709,207,30716.33,Debt Consolidation,Active
710,207,29850.63,Home,Active
711,207,23385.64,Debt Consolidation,Paid Off
712,207,21748.83,Green Energy,Paid Off
713,207,9444.48,Vacation,Active
714,207,9228.45,Home,Paid Off
715,207,47988.97,Auto,Active
716,208,9720.43,Green Energy,Active
717,208,48149.49,Vacation,Paid Off
718,209,32855.68,Debt Consolidation,Paid Off
719,210,48370.21,Auto,Paid Off
720,210,14257.21,Vacation,Paid Off
721,210,17048.11,Vacation,Active
722,210,5721.25,Debt Consolidation,Paid Off
723,210,21885.61,Green Energy,Paid Off
724,210,35842.18,Personal,Active
725,210,10291.33,Green Energy,Paid Off
726,214,42530.96,Education,Paid Off
727,214,32503.81,Auto,Active
728,214,40533.29,Business,Paid Off
729,215,4915.4,Green Energy,Paid Off
730,215,47609.16,Green Energy,Active
731,215,2575.84,Auto,Paid Off
732,215,49476.94,Education,Active
733,215,49812.8,Emergency,Active
734,217,7162.28,Home,Paid Off
735,217,37773.32,Green Energy,Paid Off
736,217,40216.12,Debt Consolidation,Active
737,217,46401.01,Education,Paid Off
738,217,15098.61,Vacation,Active
739,217,2494.18,Vacation,Paid Off
740,218,48687.12,Home Improvement,Paid Off
741,218,10560.06,Personal,Paid Off
742,219,13410.02,Green Energy,Active
743,220,39711.1,Medical,Paid Off
744,220,20702.67,Auto,Active
745,221,21626.56,Business,Active
746,221,3799.08,Debt Consolidation,Paid Off
747,222,10860.03,Home,Paid Off
748,222,43585.21,Education,Active
749,222,44040.34,Green Energy,Active
750,222,2753.04,Home Improvement,Active
751,222,42604.26,Personal,Paid Off
752,223,4467.75,Home,Active
753,223,46082.61,Auto,Paid Off
754,224,6962.46,Green Energy,Active
755,224,12708.75,Home,Active
756,224,16485.16,Emergency,Paid Off
757,224,33984.78,Vacation,Paid Off
758,224,40188.98,Auto,Paid Off
